player_id,player,team,position,minute,location,dribble_outcome
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,70,"{75.1,31.9}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,74,"{87.6,33.3}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Wing,12,"{60.1,42.4}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Wing,14,"{56.7,76.4}",Complete
8150,Francisco Javier Hernández González,Odisha,Right Wing,36,"{87.2,55.1}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,53,"{96.3,61.2}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,53,"{99.6,58.0}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,53,"{103.8,54.0}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,53,"{110.4,49.6}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,84,"{67.2,23.5}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Right Center Forward,48,"{46.5,48.5}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,58,"{98.2,18.3}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Right Center Forward,64,"{51.2,51.7}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Right Center Forward,67,"{75.4,62.4}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,72,"{114.7,8.5}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,12,"{63.6,28.0}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,21,"{111.3,9.1}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Right Center Forward,23,"{116.8,69.6}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Forward,4,"{51.8,77.0}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Center Forward,24,"{117.2,6.6}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Center Forward,43,"{103.2,44.9}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,19,"{72.5,52.9}",Complete
