Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
120,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,31,1989,17,17,1530,17,27,1.59,71,43,62,3,7,7,5,29.4,0,0,0,0,,Matches,36c2ca73
121,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,29,1992,34,34,3060,34,31,0.91,95,70,73.7,19,10,5,14,41.2,6,6,0,0,0,Matches,33887998
122,Alex Meret,it ITA,GK,Napoli,it Serie A,24,1997,7,7,619,6.9,6,0.87,29,23,79.3,5,1,1,3,42.9,0,0,0,0,,Matches,9413b19f
123,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,21,2000,38,38,3384,37.6,79,2.1,215,139,65.6,9,11,18,5,13.2,5,5,0,0,0,Matches,6b625ac2
124,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,24,1997,27,27,2430,27,33,1.22,73,47,64.4,9,7,11,4,14.8,8,7,1,0,12.5,Matches,9fa26bc2
125,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,25,1996,34,34,3060,34,50,1.47,135,85,64.4,13,10,11,4,11.8,3,2,1,0,33.3,Matches,c1d95617
126,Jessy Moulin,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7,7,630,7,8,1.14,21,15,71.4,1,3,3,1,14.3,2,2,0,0,0,Matches,28a65a2c
127,Florian Müller,de GER,GK,Stuttgart,de Bundesliga,23,1997,30,30,2700,30,52,1.73,132,83,63.6,7,10,13,4,13.3,4,4,0,0,0,Matches,cbac6ec9
128,Juan Musso,ar ARG,GK,Atalanta,it Serie A,27,1994,33,33,2932,32.6,42,1.29,116,79,66.4,16,8,9,8,24.2,4,3,0,1,0,Matches,a111cf41
129,Paul Nardi,fr FRA,GK,Lorient,fr Ligue 1,27,1994,22,22,1980,22,38,1.73,88,56,61.4,3,8,11,4,18.2,5,4,0,1,0,Matches,2d70dbe5
130,Keylor Navas,cr CRC,GK,Paris S-G,fr Ligue 1,34,1986,21,21,1856,20.6,18,0.87,76,60,78.9,13,6,2,8,38.1,2,2,0,0,0,Matches,ecada4fc
131,Neto,br BRA,GK,Barcelona,es La Liga,32,1989,3,3,270,3,4,1.33,14,10,71.4,2,1,0,0,0,0,0,0,0,,Matches,a9dc785c
132,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,35,1986,28,28,2510,27.9,26,0.93,89,64,71.9,22,4,2,10,35.7,1,1,0,0,0,Matches,8778c910
133,Alexander Nübel,de GER,GK,Monaco,fr Ligue 1,24,1996,38,38,3420,38,40,1.05,135,106,76.3,20,9,9,11,28.9,9,8,0,1,0,Matches,afb0c500
134,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,28,1993,38,38,3420,38,43,1.13,96,62,62.5,21,8,9,12,31.6,8,7,1,0,12.5,Matches,ee8508c0
135,Oier Olazábal,es ESP,GK,Espanyol,es La Liga,31,1989,2,1,135,1.5,1,0.67,7,7,100,0,0,1,1,100,1,1,0,0,0,Matches,b5bdf144
136,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,31,1990,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,Matches,e7ee38c3
137,Jonas Omlin,ch SUI,GK,Montpellier,fr Ligue 1,27,1994,29,29,2587,28.7,41,1.43,153,115,75.2,10,4,15,8,27.6,4,3,1,0,25,Matches,c631f952
138,Stefan Ortega,de GER,GK,Arminia,de Bundesliga,28,1992,33,33,2970,33,53,1.61,172,124,73.3,4,13,16,6,18.2,7,7,0,0,0,Matches,c1242d4e
139,David Ospina,co COL,GK,Napoli,it Serie A,32,1988,31,31,2790,31,25,0.81,104,81,76.9,19,6,6,13,41.9,1,1,0,0,0,Matches,82b1198a
140,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,33,1988,21,21,1875,20.8,39,1.87,88,53,59.1,2,8,11,3,14.3,3,3,0,0,0,Matches,ae7d0ecd
141,Jesús Owono,gq EQG,GK,Alavés,es La Liga,20,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,Matches,d6e3d7fb
142,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,29,1992,34,34,3053,33.9,60,1.77,139,83,60.4,8,5,21,6,17.6,8,5,3,0,37.5,Matches,97852360
143,Daniele Padelli,it ITA,GK,Udinese,it Serie A,35,1985,3,3,270,3,8,2.67,23,13,65.2,1,0,2,1,33.3,0,0,0,0,,Matches,cf1c23d8
144,Ivor Pandur,hr CRO,GK,Hellas Verona,it Serie A,21,2000,3,3,270,3,6,2,14,9,64.3,1,0,2,0,0,1,1,0,0,0,Matches,457cb02f
145,Rui Patrício,pt POR,GK,Roma,it Serie A,33,1988,38,38,3420,38,43,1.13,141,103,73,18,9,11,15,39.5,6,5,1,0,16.7,Matches,79b0d6a0
146,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,40,1981,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,Matches,f058ed1f
147,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,36,1985,1,1,90,1,3,3,7,4,57.1,1,0,0,0,0,0,0,0,0,,Matches,c41f7379
148,Juan Pérez,es ESP,GK,Osasuna,es La Liga,25,1996,2,2,180,2,3,1.5,4,2,25,0,1,1,0,0,0,0,0,0,,Matches,8f29e08b
