,Player,Squad,90s,Cmp,Att,Cmp%
262,Hatem Ben Arfa,Lille,3.5,138,157,87.9
263,Salim Ben Seghir,Marseille,0.0,1,1,100.0
264,Wissam Ben Yedder,Monaco,28.1,493,677,72.8
265,Marco Benassi,Fiorentina,1.8,108,131,82.4
266,Marco Benassi,Empoli,4.2,121,168,72.0
267,Darío Benedetto,Elche,6.6,77,114,67.5
268,Darío Benedetto,Marseille,0.6,10,11,90.9
269,László Bénes,M'Gladbach,2.7,142,192,74.0
270,Walter Benítez,Nice,37.0,769,1031,74.6
271,Iker Benito,Osasuna,1.3,22,29,75.9
272,Loris Benito,Bordeaux,0.7,42,53,79.2
273,Pedro Benito,Cádiz,0.3,4,6,66.7
274,Filip Benković,Udinese,0.1,5,6,83.3
275,Ismaël Bennacer,Milan,16.9,953,1097,86.9
276,Keanan Bennetts,M'Gladbach,0.6,17,23,73.9
277,Saïd Benrahma,West Ham,24.1,625,831,75.2
278,Ramy Bensebaini,M'Gladbach,22.4,1060,1295,81.9
279,Nabil Bentaleb,Angers,16.8,767,920,83.4
