,Player▲,Squad,90s,Gls,Ast,G+A,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90
435,José Callejón,Fiorentina,14.4,1,2,0.21,1.7,1.7,3.0,4.8,0.12,0.21,0.33,0.12,0.33
436,Lucas Calodat,Saint-Étienne,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,Dominic Calvert-Lewin,Everton,14.3,5,2,0.49,6.8,4.6,1.8,6.4,0.48,0.13,0.61,0.32,0.45
438,Mahdi Camara,Saint-Étienne,34.1,3,0,0.09,2.5,2.5,1.9,4.4,0.07,0.06,0.13,0.07,0.13
439,Mamadou Camara,Troyes,0.4,0,0,0.0,0.1,0.1,0.0,0.1,0.16,0.0,0.16,0.16,0.16
440,Víctor Camarasa,Betis,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
441,Eduardo Camavinga,Rennes,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
442,Eduardo Camavinga,Real Madrid,13.7,2,1,0.22,1.0,1.0,1.2,2.2,0.07,0.09,0.16,0.07,0.16
443,Andrea Cambiaso,Genoa,19.9,1,4,0.25,0.7,0.7,1.8,2.5,0.04,0.09,0.13,0.04,0.13
444,José Campaña,Levante,15.8,2,2,0.25,1.6,0.8,1.4,2.2,0.1,0.09,0.19,0.05,0.14
445,Chem Campbell,Wolves,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,Emre Can,Dortmund,18.8,5,1,0.32,3.2,0.1,0.7,0.8,0.17,0.04,0.21,0.01,0.05
447,Sergio Canales,Betis,31.0,5,8,0.42,4.7,4.7,5.1,9.8,0.15,0.16,0.32,0.15,0.32
448,Matteo Cancellieri,Hellas Verona,2.5,1,0,0.4,0.2,0.2,0.2,0.4,0.07,0.1,0.17,0.07,0.17
449,João Cancelo,Manchester City,35.9,1,7,0.22,4.1,4.1,5.1,9.3,0.11,0.14,0.26,0.11,0.26
450,Fali Candé,Metz,10.8,0,2,0.18,0.2,0.2,1.5,1.7,0.02,0.14,0.16,0.02,0.16
451,Antonio Candreva,Sampdoria,34.7,7,10,0.49,6.0,4.5,6.7,11.1,0.17,0.19,0.36,0.13,0.32
452,Sergi Canós,Brentford,23.1,3,2,0.22,2.9,2.9,1.9,4.8,0.12,0.08,0.21,0.12,0.21
453,Álex Cantero,Levante,6.8,0,1,0.15,2.7,2.7,0.6,3.3,0.39,0.09,0.48,0.39,0.48
454,Todd Cantwell,Norwich City,4.9,0,0,0.0,0.1,0.1,0.1,0.3,0.02,0.03,0.05,0.02,0.05
455,Ander Capa,Athletic Club,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.74,0.74,0.74
456,Pierrick Capelle,Angers,13.3,0,1,0.08,1.1,1.1,0.8,1.9,0.09,0.06,0.14,0.09,0.14
457,Leonardo Capezzi,Salernitana,1.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Étienne Capoue,Villarreal,25.4,1,1,0.08,0.6,0.6,0.9,1.4,0.02,0.03,0.06,0.02,0.06
459,Gianluca Caprari,Hellas Verona,30.4,12,7,0.62,7.3,5.7,6.8,12.5,0.24,0.22,0.46,0.19,0.41
460,Francesco Caputo,Sassuolo,1.7,0,1,0.58,0.7,0.7,0.4,1.0,0.39,0.21,0.6,0.39,0.6
461,Francesco Caputo,Sampdoria,31.0,11,3,0.45,10.8,9.8,3.4,13.3,0.35,0.11,0.46,0.32,0.43
462,Maxence Caqueret,Lyon,25.9,0,0,0.0,1.0,1.0,1.7,2.7,0.04,0.07,0.11,0.04,0.11
463,Andrea Carboni,Cagliari,24.6,0,0,0.0,0.6,0.6,0.2,0.8,0.02,0.01,0.03,0.02,0.03
464,Isaac Carcelen,Cádiz,17.2,0,1,0.06,0.5,0.5,0.6,1.2,0.03,0.04,0.07,0.03,0.07
465,Cárdenas,Levante,24.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Irvin Cardona,Brest,14.8,4,2,0.4,3.4,3.4,2.1,5.6,0.23,0.14,0.38,0.23,0.38
467,Igor Carioca,Lorient,17.5,0,0,0.0,0.6,0.6,1.2,1.8,0.03,0.07,0.1,0.03,0.1
468,Carlo,Villarreal,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Diego Carlos,Sevilla,32.9,3,0,0.09,2.5,2.5,0.3,2.8,0.08,0.01,0.09,0.08,0.09
470,Carmona,Sevilla,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,Yannick Carrasco,Atlético Madrid,28.7,6,6,0.42,6.1,4.6,6.2,10.8,0.21,0.22,0.43,0.16,0.38
472,Guido Carrillo,Elche,13.0,2,0,0.15,2.9,2.9,0.2,3.1,0.22,0.01,0.24,0.22,0.24
473,Dani Carvajal,Real Madrid,17.2,1,3,0.23,0.5,0.5,2.4,2.9,0.03,0.14,0.17,0.03,0.17
474,William Carvalho,Betis,20.1,2,3,0.25,3.1,3.1,1.5,4.6,0.16,0.07,0.23,0.16,0.23
475,Nicolò Casale,Hellas Verona,28.7,0,1,0.03,0.7,0.7,1.3,2.0,0.03,0.04,0.07,0.03,0.07
476,Casemiro,Real Madrid,28.5,1,3,0.14,2.4,2.4,2.6,5.0,0.08,0.09,0.18,0.08,0.18
477,Matty Cash,Aston Villa,37.5,4,3,0.19,2.5,2.5,1.9,4.4,0.07,0.05,0.12,0.07,0.12
