,Player,Squad,90s,SCA,SCA90,PassLive,Drib
0,Lautaro Martínez,Inter,25.4,76,3.0,47,3
1,Lorenzo Pellegrini,Roma,25.4,135,5.31,54,9
2,Mohamed Salah,Liverpool,30.7,133,4.33,93,21
3,Kylian Mbappé,Paris S-G,33.6,172,5.12,107,28
4,Sadio Mané,Liverpool,31.3,97,3.1,67,5
5,João Pedro,Cagliari,36.9,80,2.17,51,4
6,Tammy Abraham,Roma,34.3,80,2.33,56,1
7,Robert Lewandowski,Bayern Munich,32.7,104,3.18,67,13
8,Lucas Paquetá,Lyon,30.0,117,3.9,76,14
9,Gaëtan Laborde,Rennes,30.3,73,2.41,55,2
10,João Cancelo,Manchester City,35.9,103,2.87,82,7
11,Joselu,Alavés,34.7,71,2.05,47,1
12,Armand Lauriente,Lorient,27.5,85,3.09,52,8
13,Harry Kane,Tottenham,35.9,117,3.26,86,10
14,Olivier Giroud,Milan,21.0,50,2.38,31,2
15,Duván Zapata,Atalanta,19.1,79,4.13,55,10
16,Christopher Nkunku,RB Leipzig,30.3,134,4.43,84,15
17,Michail Antonio,West Ham,33.0,102,3.09,65,13
18,Sergej Milinković-Savić,Lazio,34.4,110,3.19,84,5
19,Patrik Schick,Leverkusen,23.1,49,2.12,31,5
20,Lorenzo Insigne,Napoli,25.4,113,4.44,78,4
21,Nicolás González,Fiorentina,26.2,89,3.4,54,4
22,Ivan Toney,Brentford,32.3,80,2.48,53,4
23,Lionel Messi,Paris S-G,23.9,144,6.02,103,15
24,Flavien Tait,Rennes,23.6,84,3.56,60,4
25,Raphinha,Leeds United,32.4,119,3.67,66,13
26,Anthony Modeste,Köln,29.0,39,1.35,24,1
27,Houssem Aouar,Lyon,27.8,102,3.67,74,9
28,André Silva,RB Leipzig,23.1,47,2.04,29,4
29,Erling Haaland,Dortmund,21.2,55,2.59,39,4
30,Vincenzo Grifo,Freiburg,30.8,130,4.22,69,3
31,Walace,Udinese,33.0,66,2.0,50,2
32,Leroy Sané,Bayern Munich,22.0,99,4.51,72,5
33,Ciro Immobile,Lazio,30.1,70,2.32,53,4
34,James Maddison,Leicester City,27.3,100,3.66,56,9
35,Nicolò Zaniolo,Roma,21.9,81,3.7,47,11
36,Ludovic Blas,Nantes,32.9,93,2.83,65,7
37,Emmanuel Dennis,Watford,28.7,91,3.17,54,17
38,Wilfried Zaha,Crystal Palace,30.7,104,3.39,73,14
39,Amine Gouiri,Nice,30.6,122,3.99,69,15
40,Martin Terrier,Rennes,30.9,99,3.21,72,6
41,Joelinton,Newcastle Utd,28.4,64,2.25,44,3
42,Son Heung-min,Tottenham,33.4,129,3.86,75,4
43,Enis Bardhi,Levante,18.9,75,3.97,40,2
44,Andrej Kramarić,Hoffenheim,30.1,84,2.79,61,3
45,Davide Zappacosta,Atalanta,26.1,77,2.96,52,6
46,Jarrod Bowen,West Ham,33.1,95,2.87,53,8
47,Thomas Müller,Bayern Munich,28.4,139,4.89,122,1
48,Mason Mount,Chelsea,26.3,111,4.23,72,5
49,Marko Arnautović,Bologna,29.9,82,2.74,64,6
50,Marco Asensio,Real Madrid,19.2,65,3.38,41,3
51,Miguel Almirón,Newcastle Utd,19.1,45,2.36,31,3
52,Filip Kostić,Eint Frankfurt,28.0,130,4.64,68,1
53,Vinicius Júnior,Real Madrid,29.9,170,5.69,119,21
54,Enes Ünal,Getafe,31.1,69,2.22,41,5
55,Lucas Höler,Freiburg,28.7,85,2.96,64,1
56,Stephy Mavididi,Montpellier,25.5,65,2.54,35,9
57,Conor Gallagher,Crystal Palace,31.6,89,2.82,44,3
58,Bukayo Saka,Arsenal,33.1,142,4.29,94,12
59,Richarlison,Everton,28.0,62,2.21,43,1
60,Gerson,Marseille,28.3,75,2.65,52,5
61,Ludovic Ajorque,Strasbourg,30.4,75,2.47,55,2
62,Andrea Pinamonti,Empoli,31.9,64,2.01,42,3
63,Gianluca Caprari,Hellas Verona,30.4,134,4.4,92,6
64,Alexander Isak,Real Sociedad,23.8,60,2.52,35,9
65,Rafael Leão,Milan,28.9,105,3.63,63,24
66,Donyell Malen,Dortmund,18.7,53,2.83,34,4
67,Ruslan Malinovskyi,Atalanta,17.7,89,5.03,50,6
68,Dušan Vlahović,Fiorentina,20.6,54,2.62,35,5
69,Patrick Wimmer,Arminia,22.8,80,3.51,37,10
70,Henrikh Mkhitaryan,Roma,27.7,85,3.07,62,5
71,Rafael Borré,Eint Frankfurt,26.4,63,2.38,43,6
72,Bernardo Silva,Manchester City,31.7,126,3.97,99,11
73,Iago Aspas,Celta Vigo,34.3,113,3.29,89,4
74,Raúl Jiménez,Wolves,29.2,67,2.29,47,4
75,Gerard Deulofeu,Udinese,29.1,137,4.71,82,7
76,Luis Rioja,Alavés,34.6,82,2.37,49,13
77,Milan Đurić,Salernitana,24.1,56,2.33,43,1
78,Ollie Watkins,Aston Villa,32.8,72,2.2,51,6
79,Bruno Fernandes,Manchester Utd,34.6,145,4.19,109,4
80,Gabriel Jesus,Manchester City,20.9,78,3.74,52,13
81,Denis Bouanga,Saint-Étienne,27.1,85,3.14,45,18
82,Florian Sotoca,Lens,27.6,68,2.47,49,5
83,Federico Bernardeschi,Juventus,16.4,52,3.17,35,3
84,Renaud Ripart,Troyes,21.0,42,2.0,29,3
85,Branimir Hrgota,Greuther Fürth,30.9,71,2.3,42,10
86,Martinelli,Arsenal,20.7,70,3.39,47,8
87,Omar Marmoush,Stuttgart,17.5,73,4.18,37,9
88,Martin Ødegaard,Arsenal,30.9,134,4.33,105,6
89,Taiwo Awoniyi,Union Berlin,24.2,55,2.28,40,5
90,Adnan Januzaj,Real Sociedad,18.1,66,3.66,34,5
91,Mikel Oyarzabal,Real Sociedad,18.6,63,3.39,33,4
92,Rubén García,Osasuna,26.4,89,3.37,47,2
93,Federico Dimarco,Inter,15.9,81,5.1,40,3
94,Bryan Cristante,Roma,29.8,49,1.65,39,0
95,Beto,Udinese,24.1,47,1.95,31,7
96,Daniele Verde,Spezia,21.7,72,3.31,40,4
97,Max Kruse,Union Berlin,14.1,55,3.9,39,2
98,Joël Matip,Liverpool,31.0,34,1.1,26,0
99,Pontus Jansson,Brentford,36.9,15,0.41,7,0
100,Konstantinos Mavropanos,Stuttgart,30.1,25,0.83,12,1
101,Randal Kolo Muani,Nantes,32.8,81,2.47,53,7
102,Dani Rodríguez,Mallorca,31.5,85,2.7,51,4
103,Dwight McNeil,Burnley,34.5,97,2.81,52,5
104,Alassane Pléa,M'Gladbach,23.0,107,4.65,82,6
105,Andrea Belotti,Torino,15.2,38,2.49,19,3
106,Iñaki Williams,Athletic Club,30.9,68,2.2,48,4
107,Cengiz Ünder,Marseille,24.4,83,3.4,52,2
108,Sandro Ramírez,Getafe,16.2,53,3.26,29,7
109,Daniel James,Leeds United,26.3,53,2.02,36,3
110,Franck Honorat,Brest,32.2,119,3.69,70,13
111,Nicolò Barella,Inter,32.4,131,4.05,105,10
112,Wahbi Khazri,Saint-Étienne,24.7,69,2.79,45,6
113,Grigoris Kastanos,Salernitana,15.0,60,4.01,29,5
114,Anthony Lozano,Cádiz,18.6,36,1.94,20,3
115,Luis Javier Suárez,Granada,31.6,64,2.03,43,7
116,Hakan Çalhanoğlu,Inter,27.6,151,5.48,80,2
117,Jack Harrison,Leeds United,29.3,79,2.69,52,8
118,Neal Maupay,Brighton,25.3,64,2.53,46,7
119,Edin Džeko,Inter,27.4,89,3.24,72,6
120,Kai Havertz,Chelsea,20.1,53,2.64,40,2
121,Rubén Sobrino,Cádiz,20.7,47,2.27,25,4
122,José Luis Morales,Levante,30.2,100,3.31,59,17
123,Aurélien Tchouaméni,Monaco,32.5,70,2.15,47,7
124,Giovanni Simeone,Hellas Verona,29.5,54,1.83,37,5
125,Jonathan David,Lille,31.2,69,2.21,53,4
126,Burak Yılmaz,Lille,24.6,51,2.08,36,2
127,Serge Gnabry,Bayern Munich,24.3,106,4.37,83,8
128,André Hahn,Augsburg,23.3,37,1.58,25,0
129,Ante Rebić,Milan,9.9,53,5.35,38,5
130,Phil Foden,Manchester City,23.6,83,3.51,57,3
131,Sergio Escudero,Granada,15.9,37,2.32,24,1
132,Jonathan Clauss,Lens,33.8,130,3.84,74,1
133,Yannick Carrasco,Atlético Madrid,28.7,115,4.01,62,22
134,Karim Benzema,Real Madrid,28.8,124,4.3,103,13
135,Jay Rodriguez,Burnley,15.4,24,1.56,15,1
136,Nicolás Domínguez,Bologna,22.4,55,2.46,44,0
137,Fabio Quagliarella,Sampdoria,18.5,48,2.6,33,6
138,Manolo Gabbiadini,Sampdoria,12.7,33,2.61,24,0
139,Jakub Moder,Brighton,18.9,37,1.96,23,3
140,Jordan Veretout,Roma,25.8,85,3.3,46,1
141,Gerzino Nyamsi,Strasbourg,33.2,16,0.48,8,0
142,Virgil van Dijk,Liverpool,34.0,24,0.71,18,0
143,Luke Ayling,Leeds United,25.2,22,0.87,16,0
144,Neymar,Paris S-G,20.6,123,5.98,84,6
145,Dimitri Payet,Marseille,28.8,188,6.53,116,10
146,Álvaro Morata,Juventus,25.6,79,3.09,58,2
147,Jack Grealish,Manchester City,21.3,110,5.17,87,5
148,Seko Fofana,Lens,37.3,112,3.0,89,9
149,Mark Uth,Köln,22.5,91,4.04,47,4
150,Rey Manaj,Spezia,19.6,44,2.24,25,4
151,Leandro Barreiro Martins,Mainz 05,19.9,37,1.86,21,0
152,Allan Saint-Maximin,Newcastle Utd,31.2,114,3.66,74,23
153,Moussa Dembélé,Lyon,24.5,65,2.65,44,6
154,Karim Onisiwo,Mainz 05,26.2,86,3.28,62,10
155,Nico Schlotterbeck,Freiburg,30.9,52,1.68,36,3
156,Raúl de Tomás,Espanyol,32.4,65,2.01,47,6
157,Steve Mounié,Brest,25.7,49,1.91,36,1
158,Lukas Nmecha,Wolfsburg,18.1,41,2.27,25,5
159,Szymon Żurkowski,Empoli,25.6,60,2.34,48,1
160,Armando Broja,Southampton,21.9,37,1.69,17,6
161,Andy Delort,Nice,27.2,67,2.46,49,5
162,Cristiano Ronaldo,Manchester Utd,27.3,76,2.79,56,9
163,Bryan Mbeumo,Brentford,32.3,77,2.39,49,8
164,Paulinho,Leverkusen,13.5,54,3.99,34,5
165,Ryan Fraser,Newcastle Utd,16.3,47,2.89,28,0
166,Kevin De Bruyne,Manchester City,24.5,139,5.68,94,3
167,Federico Bonazzoli,Salernitana,20.7,35,1.69,22,1
168,Álvaro García,Rayo Vallecano,33.3,86,2.58,67,3
169,Kike,Osasuna,20.7,49,2.37,36,2
170,Giacomo Bonaventura,Fiorentina,25.2,73,2.9,59,1
171,Saïd Benrahma,West Ham,24.1,69,2.86,53,6
172,Daniel Podence,Wolves,16.5,62,3.76,48,4
173,Raúl García,Athletic Club,20.0,42,2.1,30,2
174,Roger Martí,Levante,23.5,38,1.62,28,0
175,Luis Muriel,Atalanta,17.1,100,5.85,55,10
176,Antonio Candreva,Sampdoria,34.7,125,3.61,74,7
177,Rafa Mir,Sevilla,20.1,31,1.54,18,4
178,Dani Gómez,Levante,11.8,29,2.46,19,1
179,Oihan Sancet,Athletic Club,15.8,56,3.54,37,4
180,Antonio Sanabria,Torino,20.0,36,1.8,23,2
181,Josip Brekalo,Torino,25.4,109,4.29,72,8
182,Adrien Thomasson,Strasbourg,26.5,84,3.16,62,8
183,Stéphane Diarra,Lorient,5.8,30,5.14,16,2
184,Brais Méndez,Celta Vigo,33.6,73,2.17,62,1
185,Álvaro Negredo,Cádiz,24.0,40,1.67,26,4
186,Arnaud Nordin,Saint-Étienne,20.8,47,2.26,23,4
187,Carles Pérez,Roma,6.2,32,5.2,15,4
188,Mohamed Elyounoussi,Southampton,22.7,52,2.29,41,2
189,Josip Iličić,Atalanta,9.3,60,6.42,39,2
190,Karim Bellarabi,Leverkusen,7.6,25,3.29,15,1
191,Philippe Coutinho,Aston Villa,14.8,54,3.66,38,4
192,Thomas Lemar,Atlético Madrid,16.0,62,3.87,44,3
193,Ibrahima Niane,Metz,17.6,26,1.48,17,1
194,Pierre-Emerick Aubameyang,Arsenal,11.5,23,2.0,14,1
195,Franck Kessié,Milan,25.6,66,2.57,51,2
196,Junior Messias,Milan,15.9,43,2.71,28,5
197,Marcos Alonso,Chelsea,24.1,89,3.7,61,4
198,Gaël Kakuta,Lens,18.6,46,2.47,33,4
199,Kevin Lasagna,Hellas Verona,13.2,32,2.43,21,2
200,Pablo Fornals,West Ham,31.1,87,2.8,67,4
201,Ivan Rakitić,Sevilla,24.2,75,3.09,42,0
202,Matthias Ginter,M'Gladbach,26.2,43,1.64,33,0
203,Pierrick Capelle,Angers,13.3,28,2.11,15,0
204,Ihlas Bebou,Hoffenheim,23.2,53,2.28,42,3
205,Marius Wolf,Dortmund,14.7,29,1.98,20,2
206,Milan Škriniar,Inter,35.0,31,0.89,23,1
207,Eduard Löwen,Bochum,15.7,59,3.75,34,0
208,Rodri,Manchester City,32.0,75,2.34,63,2
209,Pape Matar Sarr,Metz,23.7,56,2.37,45,2
210,Mohamed Lamine Bayo,Clermont Foot,26.8,59,2.2,43,9
211,Dejan Kulusevski,Tottenham,14.0,47,3.35,35,6
212,Trent Alexander-Arnold,Liverpool,31.7,150,4.73,87,5
213,Sanjin Prcić,Strasbourg,24.3,55,2.26,40,1
214,Cristiano Biraghi,Fiorentina,35.0,116,3.31,59,0
215,Gonzalo Melero,Levante,18.8,32,1.7,26,0
216,Odsonne Édouard,Crystal Palace,17.4,39,2.24,26,4
217,Thiago Alcántara,Liverpool,17.0,61,3.58,52,1
218,Giorgio Altare,Cagliari,16.3,25,1.53,16,0
219,Gleison Bremer,Torino,32.1,22,0.69,14,0
220,Jeong Woo-yeong,Freiburg,19.8,47,2.37,38,3
221,Xavier Chavalerin,Troyes,30.2,51,1.69,33,2
222,Ismaël Traoré,Angers,35.7,19,0.53,14,0
223,Salvi,Cádiz,15.5,20,1.29,13,0
224,Ermedin Demirović,Freiburg,9.7,18,1.86,13,0
225,Nabil Fekir,Betis,31.0,161,5.19,78,9
226,Breel Embolo,M'Gladbach,24.1,79,3.28,54,2
227,Jude Bellingham,Dortmund,31.0,98,3.16,67,9
228,Marco Reus,Dortmund,27.8,97,3.49,70,2
229,Che Adams,Southampton,22.7,51,2.25,34,1
230,Gonçalo Guedes,Valencia,29.0,93,3.21,55,9
231,Óscar Trejo,Rayo Vallecano,22.3,105,4.71,54,3
232,Diogo Jota,Liverpool,26.3,87,3.31,58,12
233,Giacomo Raspadori,Sassuolo,30.4,100,3.28,68,5
234,Alexandre Lacazette,Arsenal,19.8,65,3.28,43,7
235,Roland Sallai,Freiburg,17.2,46,2.67,31,1
236,Mathías Olivera,Getafe,31.1,73,2.34,49,2
237,Theo Hernández,Milan,30.1,88,2.92,48,3
238,Alessandro Schöpf,Arminia,26.6,87,3.27,59,3
239,Victor Osimhen,Napoli,22.0,57,2.59,39,4
240,Mikel Merino,Real Sociedad,32.1,69,2.15,52,3
241,Lovro Majer,Rennes,20.4,87,4.27,57,0
242,Matteo Politano,Napoli,18.3,77,4.2,44,8
243,Florent Mollet,Montpellier,29.2,69,2.36,43,2
244,Ignacio Pussetto,Udinese,13.4,43,3.21,24,5
245,Tommaso Pobega,Torino,24.9,60,2.41,47,0
246,Kevin Volland,Monaco,27.1,67,2.48,53,2
247,Tolgay Arslan,Udinese,18.4,46,2.5,27,0
248,Mattia Zaccagni,Lazio,20.8,54,2.59,41,1
249,Demarai Gray,Everton,26.0,83,3.2,48,12
250,Ilan Kebbal,Reims,19.7,78,3.96,49,8
251,Álex Moreno,Betis,26.7,55,2.06,35,5
252,Adri Embarba,Espanyol,22.1,81,3.67,38,8
253,Jonathan Burkardt,Mainz 05,29.0,66,2.27,53,2
254,Angelo Fulgini,Angers,32.5,76,2.34,55,0
255,Jodel Dossou,Clermont Foot,22.3,55,2.47,36,9
256,Joshua King,Watford,25.0,60,2.4,46,4
257,Borna Sosa,Stuttgart,27.8,103,3.71,64,3
258,Riccardo Saponara,Fiorentina,14.3,54,3.79,42,2
259,Danny Welbeck,Brighton,16.4,36,2.19,27,0
260,Téji Savanier,Montpellier,26.8,122,4.55,72,7
261,Amine Adli,Leverkusen,14.0,47,3.37,31,3
262,Sergi Darder,Espanyol,34.7,88,2.53,68,1
263,Piotr Zieliński,Napoli,23.2,87,3.75,67,2
264,Georginio Rutter,Hoffenheim,17.9,39,2.18,21,8
265,Răzvan Marin,Cagliari,31.3,106,3.39,56,5
266,Federico Chiesa,Juventus,9.6,40,4.17,23,5
267,Dries Mertens,Napoli,15.4,63,4.1,47,3
268,Salis Abdul Samed,Clermont Foot,27.4,40,1.46,30,0
269,Mama Samba Baldé,Troyes,19.1,47,2.46,28,10
270,João Pedro,Watford,18.3,49,2.68,33,7
271,Wissam Ben Yedder,Monaco,28.1,67,2.38,53,5
272,Jean-Ricner Bellegarde,Strasbourg,25.9,42,1.62,27,1
273,Kristijan Jakić,Eint Frankfurt,20.9,25,1.2,16,0
274,Mattia Caldara,Venezia,30.0,17,0.57,8,0
275,Adam Armstrong,Southampton,15.7,29,1.85,17,4
276,Ferrán Torres,Barcelona,15.7,33,2.1,23,2
277,Thomas Monconduit,Lorient,25.0,67,2.68,44,1
278,Jesper Lindstrøm,Eint Frankfurt,22.0,75,3.42,48,8
279,Sergio Canales,Betis,31.0,117,3.77,100,4
280,Ruben Loftus-Cheek,Chelsea,15.5,52,3.36,39,3
281,Jean-Victor Makengo,Udinese,26.1,56,2.14,41,6
282,Wataru Endo,Stuttgart,32.2,55,1.71,43,3
283,Wilfried Singo,Torino,29.0,53,1.83,41,3
284,Luis Suárez,Atlético Madrid,20.4,36,1.77,27,0
285,Zaydou Youssouf,Saint-Étienne,17.3,33,1.91,23,0
286,Hakim Ziyech,Chelsea,14.7,64,4.37,45,6
287,Mateusz Klich,Leeds United,23.0,68,2.95,54,3
288,Vitaly Janelt,Brentford,25.5,53,2.08,40,2
289,Robert Andrich,Leverkusen,20.2,31,1.54,21,2
290,Yoann Touzghar,Troyes,16.2,28,1.73,20,0
291,Leandro Trossard,Brighton,31.2,92,2.95,66,15
292,Javairô Dilrosun,Bordeaux,19.2,70,3.64,40,6
293,Emile Smith Rowe,Arsenal,21.3,65,3.05,49,5
294,Thomas Partey,Arsenal,22.5,51,2.26,39,5
295,Reece James,Chelsea,20.7,79,3.81,61,3
296,Romain Faivre,Brest,19.9,72,3.61,34,3
297,Wout Weghorst,Wolfsburg,17.3,37,2.14,28,2
298,Nicola Sansone,Bologna,10.0,33,3.31,16,1
299,Sasa Kalajdzic,Stuttgart,13.6,34,2.51,27,0
300,Youri Tielemans,Leicester City,29.2,84,2.87,65,4
301,Florian Wirtz,Leverkusen,20.6,102,4.96,75,8
302,Khéphren Thuram-Ulie,Nice,21.1,52,2.46,39,5
303,Denis Suárez,Celta Vigo,31.3,89,2.84,56,4
304,Dejan Ljubicic,Köln,21.9,70,3.2,59,3
305,Iyenoma Udogie,Udinese,27.5,59,2.14,46,3
306,Davide Calabria,Milan,23.5,47,2.0,32,3
307,Bamba Dieng,Marseille,10.8,19,1.75,10,1
308,Leon Goretzka,Bayern Munich,15.5,60,3.87,51,0
309,Gianluca Mancini,Roma,32.0,31,0.97,23,0
310,Jorge de Frutos,Levante,19.6,51,2.61,31,10
311,Nathan Redmond,Southampton,20.4,66,3.24,53,2
312,Jürgen Locadia,Bochum,4.9,20,4.05,12,1
313,Dennis Geiger,Hoffenheim,15.3,43,2.81,24,0
314,Kasper Dolberg,Nice,16.6,29,1.75,22,0
315,Isaac Carcelen,Cádiz,17.2,23,1.34,15,0
316,Denzel Dumfries,Inter,22.5,55,2.44,42,5
317,Antonín Barák,Hellas Verona,26.0,62,2.38,52,4
318,Ishak Belfodil,Hertha BSC,18.2,43,2.37,33,4
319,Joaquín Correa,Inter,11.4,38,3.34,28,4
320,Habib Diallo,Strasbourg,17.1,33,1.93,23,4
321,Max Aarons,Norwich City,32.0,38,1.19,27,3
322,Gianluca Scamacca,Sassuolo,23.8,53,2.22,46,1
323,Alberto Grassi,Cagliari,24.2,31,1.28,22,1
324,Sehrou Guirassy,Rennes,11.3,20,1.77,13,1
325,Ajdin Hrustic,Eint Frankfurt,10.7,21,1.96,10,1
326,Lucien Agoume,Brest,20.8,31,1.49,24,0
327,Fernandinho,Manchester City,10.7,30,2.8,24,0
328,Sandro Tonali,Milan,28.9,74,2.56,41,3
329,Willian José,Betis,17.8,43,2.41,34,1
330,Anthony Losilla,Bochum,32.6,39,1.2,30,1
331,Nedim Bajrami,Empoli,22.8,98,4.29,64,7
332,Moanes Dabbur,Hoffenheim,14.6,34,2.34,26,1
333,Benjamin Pavard,Bayern Munich,23.1,45,1.95,37,0
334,Arnaut Groeneveld,Villarreal,16.4,36,2.2,21,9
335,Mario Pašalić,Atalanta,22.2,67,3.01,58,3
336,Danny Ings,Aston Villa,21.1,31,1.47,24,1
337,Andrei Girotto,Nantes,35.0,24,0.69,17,1
338,Harry Maguire,Manchester Utd,27.9,20,0.72,11,1
339,Jonas Martin,Rennes,23.4,36,1.54,29,0
340,Ben White,Arsenal,32.0,25,0.78,18,0
341,Roberto Pereyra,Udinese,19.9,56,2.81,45,5
342,Jacob Murphy,Newcastle Utd,16.4,45,2.75,34,4
343,Robin Hack,Arminia,15.2,37,2.44,27,3
344,Caleb Ekuban,Genoa,19.1,32,1.68,24,3
345,Lee Jae-sung,Mainz 05,16.0,50,3.13,43,1
346,Giulian Biancone,Troyes,25.5,36,1.41,29,0
347,Thiago Galhardo,Celta Vigo,12.8,25,1.96,20,0
348,Mauro Icardi,Paris S-G,11.4,20,1.75,15,0
349,Philipp Lienhart,Freiburg,31.9,15,0.47,10,0
350,Naby Keïta,Liverpool,13.0,43,3.3,33,3
351,Vedat Muriqi,Mallorca,16.0,36,2.25,26,4
352,David Alaba,Real Madrid,29.4,46,1.57,37,1
353,Eric Dier,Tottenham,34.1,28,0.82,22,0
354,Remi Oudin,Bordeaux,19.3,45,2.33,31,4
355,Cristian Tello,Betis,9.1,33,3.63,24,4
356,Raphaël Guerreiro,Dortmund,19.9,54,2.71,35,2
357,Wylan Cyprien,Nantes,16.6,51,3.08,28,1
358,Alessandro Deiola,Cagliari,23.7,31,1.31,26,0
359,Timo Baumgartl,Union Berlin,24.1,16,0.66,10,0
360,Karl Toko Ekambi,Lyon,25.5,74,2.9,57,13
361,Philipp Förster,Stuttgart,10.7,25,2.33,17,2
362,Pascal Groß,Brighton,22.6,91,4.02,49,1
363,Julian Ryerson,Union Berlin,15.9,31,1.95,25,1
364,Diadie Samassékou,Hoffenheim,18.4,21,1.14,16,1
365,Craig Dawson,West Ham,30.6,11,0.36,6,1
366,Jon Moncayola,Osasuna,32.4,57,1.76,38,0
367,Jean-Clair Todibo,Nice,34.6,30,0.87,25,0
368,Pape Gueye,Marseille,17.0,24,1.41,20,0
369,Pietro Ceccaroni,Venezia,34.7,18,0.52,13,0
370,Grant Hanley,Norwich City,32.2,10,0.31,5,0
371,Merih Demiral,Atalanta,21.3,8,0.38,3,0
372,Iker Muniain,Athletic Club,30.9,172,5.56,87,12
373,Sofiane Boufal,Angers,25.9,124,4.79,59,16
374,Ante Budimir,Osasuna,19.3,31,1.61,16,2
375,Felipe Anderson,Lazio,32.1,102,3.18,80,7
376,Paulo Dybala,Juventus,22.9,95,4.15,64,6
377,Pablo Maffeo,Mallorca,32.7,54,1.65,33,5
378,Jordan Ayew,Crystal Palace,22.4,47,2.1,31,1
379,Nathanael Mbuku,Reims,15.8,43,2.73,18,7
380,Mattéo Guendouzi,Marseille,35.0,95,2.71,76,5
381,Anton Stach,Mainz 05,20.7,59,2.85,36,2
382,Domenico Berardi,Sassuolo,31.3,147,4.69,111,7
383,Kyle Walker-Peters,Southampton,29.3,61,2.09,42,6
384,Jamie Leweling,Greuther Fürth,21.8,40,1.84,21,5
385,Isaac Palazón Camacho,Rayo Vallecano,25.4,75,2.95,49,4
386,Kevin Schade,Freiburg,9.2,19,2.06,8,1
387,Yacine Adli,Bordeaux,25.1,103,4.1,67,4
388,Ezequiel Ávila,Osasuna,20.8,37,1.78,22,0
389,Matheus Cunha,Atlético Madrid,11.8,22,1.86,12,0
390,Giulio Maggiore,Spezia,31.3,73,2.33,57,6
391,Memphis Depay,Barcelona,20.6,76,3.7,43,6
392,Junior Sambia,Montpellier,17.0,27,1.59,14,4
393,Douglas Luiz,Aston Villa,30.2,75,2.49,46,1
394,Enzo Le Fée,Lorient,24.4,93,3.81,54,3
395,Kiernan Dewsbury-Hall,Leicester City,23.4,66,2.82,49,4
396,Roberto Soriano,Bologna,29.1,91,3.12,80,0
397,Raheem Sterling,Manchester City,23.6,90,3.81,69,11
398,Davide Frattesi,Sassuolo,31.7,76,2.4,61,5
399,Christopher Antwi-Adjei,Bochum,12.6,23,1.83,12,0
400,Bebé,Rayo Vallecano,9.6,41,4.26,21,6
401,Riccardo Orsolini,Bologna,19.8,56,2.82,31,4
402,Jorge Molina,Granada,21.8,50,2.29,39,3
403,Lucas Torreira,Fiorentina,24.4,60,2.46,46,2
404,Moses Simon,Nantes,25.9,97,3.74,51,10
405,Mathias Normann,Norwich City,18.3,34,1.86,14,5
406,Tariq Lamptey,Brighton,17.3,47,2.71,33,4
407,Ondrej Duda,Köln,17.9,62,3.46,37,10
408,Nico Williams,Athletic Club,14.9,41,2.76,26,6
409,Takuma Asano,Bochum,17.9,43,2.41,31,3
410,Jonas Hofmann,M'Gladbach,23.1,129,5.59,78,2
411,Santi Mina,Celta Vigo,26.3,43,1.63,32,2
412,Alexis Saelemaekers,Milan,20.7,72,3.47,56,8
413,Álex Berenguer,Athletic Club,24.1,71,2.95,44,3
414,Luis Alberto,Lazio,26.1,112,4.28,76,2
415,Adrien Truffert,Rennes,18.2,39,2.14,29,2
416,Kévin Gameiro,Strasbourg,26.5,59,2.23,50,1
417,Boubacar Kamara,Marseille,30.9,44,1.43,34,1
418,Federico Di Francesco,Empoli,15.2,40,2.63,30,1
419,Fabinho,Liverpool,25.7,39,1.52,31,0
420,Lassana Coulibaly,Salernitana,25.9,32,1.23,24,0
421,Franco Cervi,Celta Vigo,20.0,32,1.6,22,0
422,Dango Ouattara,Lorient,9.0,21,2.33,13,0
423,Callum Hudson-Odoi,Chelsea,10.7,51,4.77,37,7
424,Ridle Baku,Wolfsburg,27.2,73,2.69,57,6
425,Carles Aleñá,Getafe,25.8,52,2.02,42,2
426,Marcos Acuña,Sevilla,25.1,66,2.63,42,1
427,Josh Sargent,Norwich City,17.5,26,1.49,18,1
428,Maxwel Cornet,Burnley,19.6,27,1.38,16,1
429,Cheick Doucouré,Lens,32.7,86,2.63,74,2
430,Brahim Díaz,Milan,20.6,68,3.3,52,5
431,Emmanuel Gyasi,Spezia,33.7,50,1.48,40,1
432,Marko Pjaca,Torino,12.8,39,3.05,25,5
433,Ángel Correa,Atlético Madrid,20.6,57,2.76,43,3
434,Hwang Hee-chan,Wolves,20.2,34,1.69,23,3
435,Curtis Jones,Liverpool,9.5,26,2.75,15,2
436,Grischa Prömel,Union Berlin,26.9,40,1.49,31,1
437,Sérgio Oliveira,Roma,9.9,30,3.03,15,1
438,Éder Militão,Real Madrid,33.7,32,0.95,23,0
439,Guido Carrillo,Elche,13.0,21,1.62,13,0
440,Manu Trigueros,Villarreal,24.2,60,2.48,49,1
441,Keita Baldé,Cagliari,13.7,22,1.61,14,1
442,Hugo Ekitike,Reims,14.1,38,2.69,22,9
443,Darwin Machís,Granada,15.3,40,2.62,26,6
444,Jeffrey Schlupp,Crystal Palace,20.6,41,1.99,31,4
445,Mateo Kovačić,Chelsea,17.3,58,3.35,50,2
446,Liam Henderson,Empoli,22.4,74,3.3,56,0
447,Vladimír Darida,Hertha BSC,19.8,48,2.42,31,0
